Station_ID,Title,Latitude,Longitude,Temperature,Station_pressure,Sea_level_pressure,Humidity,High_clouds,Low_clouds,Mid_clouds,Wind_combined,Sky_cover,Dew_point,Wind_speed,Wind_direction,Precipitation_rate
41504,Gupis,36.16666667,73.4,-5.0,787.9,855.6,56.0,,,,0_270.0,0,-11.7,0,270.0,0.0
41506,Chitral,35.85,71.83333333,-0.5,855.0,854.6,73.0,,,,0_0.0,0,-4.7,0,0.0,0.0
41523,Saidu Sharif (Met Obsy),34.73333333,72.35,3.0,912.8,852.2,84.0,,,,0_0.0,0,0.5,0,0.0,0.0
41560,Parachinar (PBO),33.86666667,70.08333333,1.5,831.0,854.3,84.0,,,,0_0.0,0,-1.0,0,0.0,0.0
41576,Mangla,33.06666667,73.63333333,4.5,,1022.4,68.0,,,,5_240.0,0,-0.9,5,240.0,0.0
41630,Faisalabad,31.43333333,73.13333333,5.0,,1021.3,84.0,,,,0_0.0,0,2.5,0,0.0,0.0
41638,Toba Tek Sing,30.98333333,72.78333333,6.0,,,85.0,,,,0_0.0,0,3.6,0,0.0,0.0
41661,"P.B.O. , Sheikhmanda (Quetta)",3.0,6.1,-3.5,841.4,854.4,79.0,,,,0_0.0,0,-6.6,0,0.0,0.0
41678,Bahawal Nagar,29.33333333,73.85,8.0,,1021.0,86.0,,,,0_0.0,0,5.8,0,0.0,0.0
41685,PBO. Chhor,29.88333333,69.71666667,3.5,895.2,851.6,31.0,,,,0_0.0,0,-12.0,0,0.0,0.0
41696,"P.B.O., Kalat",2.15,6.1,-3.0,803.4,856.7,70.0,,,,0_0.0,0,-7.7,0,0.0,0.0
41697,"M.O., Sibbi",2.15,6.116666667,9.0,1002.9,1019.2,61.0,,,,0_0.0,0,1.8,0,0.0,0.0
41712,"P.B.O., Dalbandin",2.133333333,6.066666667,-0.5,923.7,851.0,53.0,,,,0_0.0,0,-9.0,0,0.0,0.0
41738,A.M. Turbat,25.98333333,63.06666667,11.0,1002.2,1021.1,30.0,,,,0_0.0,0,-5.9,0,0.0,0.0
41742,M.O. Lasbella,26.23333333,66.16666667,12.5,1007.6,1018.4,44.0,,,,0_0.0,0,0.6,0,0.0,0.0
41743,M.O Dadu,26.71666667,67.78333333,9.5,,,80.0,,,,0_0.0,0,6.3,0,0.0,0.0
41744,"P.B.O., Khuzdar",2.116666667,6.1,9.0,880.1,851.9,57.0,,,,0_0.0,0,0.9,0,0.0,0.0
41767,M.O Mirpur Khas,25.51666667,69.0,10.0,,,81.0,,,,5_60.0,0,6.8,5,60.0,0.0
41783,M.O. Thatta,24.75,67.9,13.5,1014.8,1017.9,67.0,,,,0_0.0,0,7.4,0,0.0,0.0
41785,M.O. Badin,24.63333333,68.9,10.0,1017.1,1018.4,81.0,,,,0_0.0,0,6.8,0,0.0,0.0
41786,M.O. Mithi,24.75,69.8,4.5,1013.5,1017.4,76.0,,,,0_0.0,0,0.6,0,0.0,0.0
43532,Muzaffarabad (P.B.O),34.36666667,73.48333333,3.0,936.9,1021.4,92.0,,,,0_0.0,0,1.8,0,0.0,0.0
43563,Kotli,33.51666667,73.9,4.4,949.2,1021.8,77.0,,,,0_0.0,0,0.9,0,0.0,0.0
41598,Jhelum,32.93333333,73.73333333,4.0,992.3,1021.0,,,,,0_240.0,0,1.4,0,240.0,0.0
41600,Sialkot,32.51666667,74.53333333,4.5,988.6,1019.7,,,,,0_0.0,0,3.3,0,0.0,0.0
41620,"P.B.O., Zhob",3.016666667,6.15,3.0,859.8,898.0,,,,,0_120.0,0,-7.9,0,120.0,0.0
41624,D.I.Khan (PBO),31.81666667,70.93333333,7.5,999.2,1020.2,,,,,0_0.0,0,5.3,0,0.0,0.0
41640,Lahore PBO.,31.55,74.33333333,8.5,994.3,1020.3,,,,,0_0.0,0,3.9,0,0.0,0.0
41700,Bahawal Pur,29.33333333,71.78333333,7.0,1005.9,1019.5,,,,,0_0.0,0,5.9,0,0.0,0.0
41710,"P.B.O., Nokkundi",2.133333333,6.033333333,2.5,942.2,1023.9,,,,,0_0.0,0,-4.7,0,0.0,0.0
41715,PBO. Jacobabad,28.3,68.46666667,9.5,1012.8,1019.7,,,,,0_0.0,0,3.8,0,0.0,0.0
41718,Khanpur,28.65,70.68333333,7.0,1009.8,1020.7,,,,,0_0.0,0,4.7,0,0.0,0.0
41725,M.O. Rohri,27.66666667,68.9,11.0,1012.1,1020.2,,,,,0_60.0,0,4.3,0,60.0,0.0
41739,PBO. Panjgur,26.96666667,64.1,2.5,911.3,838.0,,,,,5_60.0,0,-3.0,5,60.0,0.0
41749,PBO. Nawabshah,26.25,68.36666667,8.5,1013.8,1017.1,,,,,0_0.0,0,5.2,0,0.0,0.0
41756,PBO. Jiwani,25.06666667,61.8,15.0,1011.2,1018.0,,,,,0_60.0,0,1.2,0,60.0,0.0
41759,PBO. Pasni,25.26666667,63.48333333,10.0,1017.2,1017.8,,,,,0_0.0,0,5.7,0,0.0,0.0
41764,PBO. Hyderabad,25.38333333,68.41666667,13.0,1013.4,1018.6,,,,,0_0.0,0,1.3,0,0.0,0.0
41780,M.O  S K.A.P.,24.9,67.13333333,12.0,1016.0,1018.9,,,,,0_60.0,0,-0.4,0,60.0,0.0
