S. No.,Station_ID,Title,Latitude,Longitude,Elevation/Height a.m.s.l.
1,41678, Bahawal Nagar,29.33333333,73.85,161.05 meter
2,41700, Bahawal Pur,29.33333333,71.78333333,110.00 meter
3,41701, Bahawal Pur (A/P),29.38333333,71.68333333,119.00 meter
4,41625, Bhakkar,31.61666667,71.06666667,162 meter
5,41626,Noorpur Thal,31.86666667,71.9,186 meter
6,41627, Jauharabad,32.5,72.43333333,187 meter
7,41630, Faisalabad,31.43333333,73.13333333,185.6 meter
8,41598, Jhelum,32.93333333,73.73333333,287.19 meter
9,41718, Khanpur,28.65,70.68333333,88.41 meter
10,41641, Lahore A.P.,31.58333333,74.4,216.15 meter
11,41640, Lahore PBO.,31.55,74.33333333,214.00 meter
12,41675, Multan,30.2,71.43333333,121.95 meter
13,41597, Mandi Bahauddin,32.96666667,73.8,252.97 meter
14,41600, Sialkot,32.51666667,74.53333333,255.1 meter
15,41600, Sialkot Airport,32.53333333,74.03333333,240 meter
16,41593, Sargodha,32.05,72.66666667,187 meter
17,41638,Toba Tek Sing,30.98333333,72.78333333,155 meter
18,41652, D.G. Khan,30.05,70.63333333,148.1 meter
19,NIL, D.G. Khan (Aeromet),29.96666667,70.33333333,141 meter
20,41636, Jhang,31.26666667,72.31666667,---
21,41576, Mangla,33.06666667,73.63333333,283.3 meter
22,41680, Sahiwal,30.65,73.16666667,172 meter
23,41628, Chakwal,32.91666667,72.85,519 meter
24,41642, Gujranwala,32.36666667,74.35,227 meter
25,41646, Okara,30.8,73.43333333,180 meter
26,41716, Rahim Yar Khan,28.43333333,70.31666667,82.93 meter
27,NIL, Gujrat,32.56666667,74.06666667,---
28,NIL, MCC Lahore,31.58333333,74.4,216.15 meter
29,41536, Balakot,34.55,72.35,995.40 meter
30,41565, Cherat,33.81666667,71.55,1372.0 meter
31,41506, Chitral,35.85,71.83333333,1497.8 meter
32,41624, D.I.Khan (PBO),31.81666667,70.93333333,171.20 meter
33,NIL, D.I.Khan (Aeromet),31.91666667,70.86666667,172.3 meter
34,41508, Dir,35.2,71.85,1375.0 meter
35,41515, Drosh,35.56666667,71.78333333,1463.90 meter
36,41535, Kakul (Abbottabad),34.18333333,73.25,1308.0 meter
